"district_number","rep_name_1","party_1","county_1","rep_name_2","party_2","county_2","rep_name_3","party_3","county_3","rep_name_4","party_4","county_4","rep_name_5","party_5","county_5","household_benefit","economic_impact","children_in_eitc_households"
1,"Pat McGeehan","R","Hancock","Mark Zatezalo","R","Hancock",,,,,,,,,,2829,908344,3356
2,"Ryan Weld","R","Brooke",,,,,,,,,,,,,1256,381852,1369
3,"Shawn Fluharty","D","Ohio","Erikka Storch","R","Ohio",,,,,,,,,,2818,863084,3092
4,"Michael Ferro","D","Marshall","David Evans","R","Marshall",,,,,,,,,,2701,869913,3144
5,"Dave Pethtel","D","Wetzel",,,,,,,,,,,,,1255,416261,1387
6,"William Romine","R","Tyler",,,,,,,,,,,,,1130,384956,1340
7,"Lynwood Ireland","R","Ritchie",,,,,,,,,,,,,1269,423783,1507
8,"Bill Anderson","R","Wood",,,,,,,,,,,,,1247,400488,1475
9,"Anna Border-Sheppard","R","Wood",,,,,,,,,,,,,1501,503894,1887
10,"Mike Azinger","R","Wood","John Kelly","R","Wood","Frank Deem","R","Wood",,,,,,,5099,1701712,5998
11,"Martin 'Rick""  Atkinson III","R","Roane",,,,,,,,,,,,,1327,469569,1673
12,"Steve Westfall","R","Jackson",,,,,,,,,,,,,1437,481524,1799
13,"Scott Cadle","R","Mason","Michael Ihle","R","Jackson",,,,,,,,,,2570,855541,3102
14,"Jim Butler","R","Mason",,,,,,,,,,,,,1308,460381,1628
15,"Geoff Foster","R","Putnam",,,,,,,,,,,,,1005,328728,1223
16,"Jim Morgan","D","Cabell","Carol Miller","R","Cabell","Sean Hornbuckle","D","Cabell",,,,,,,4218,1371115,4921
17,"Doug Reynolds","D","Cabell","Matthew Rohrbach","D","Cabell",,,,,,,,,,2911,921854,3283
18,"Kelli Sobonya","R","Cabell",,,,,,,,,,,,,1332,429770,1602
19,"Kenneth Hicks","D","Wayne","Don Perdue","D","Wayne",,,,,,,,,,2885,1051183,3731
20,"Justin Marcum","D","Mingo",,,,,,,,,,,,,1196,455937,1557
21,"Harry White","D","Mingo",,,,,,,,,,,,,1430,498491,1458
22,"Jeff Eldridge","D","Lincoln","Michel Moffatt","R","Putnam",,,,,,,,,,2543,907215,3220
23,"Joshua Nelson","R","Boone",,,,,,,,,,,,,1133,402256,1207
24,"Rupert Phillips","D","Logan","Ralph Rodighiero","D","Logan",,,,,,,,,,2739,974426,3061
25,"Linda Phillips","D","Wyoming",,,,,,,,,,,,,1433,513233,1304
26,"Clif Moore","D","McDowell",,,,,,,,,,,,,1648,624259,1759
27,"Joe Ellington","R","Mercer","Marty Gearheart","R","Mercer","John Shott","R","Mercer",,,,,,,5286,1909266,6629
28,"John O'Neal","R","Raleigh","Roy Cooper","R","Summers",,,,,,,,,,2662,896934,3115
29,"Rick Moye","D","Raleigh",,,,,,,,,,,,,1823,606157,1971
30,"Mick Bates","D","Raleigh",,,,,,,,,,,,,1561,517353,1792
31,"Lynne Arvon","R","Raleigh",,,,,,,,,,,,,1453,488657,1492
32,"Kayla Kessinger","R","Fayette","Tom Fast","R","Fayette","David Perry","D","Fayette",,,,,,,4749,1628318,5349
33,"Roger Hanshaw","R","Clay",,,,,,,,,,,,,1558,528159,1599
34,"Brent Boggs","D","Braxton",,,,,,,,,,,,,1373,454932,1517
35,"Chris Stansbury","R","Kanawha","Andrew Byrd","D","Kanawha","John McCuskey","R","Kanawha","Eric Nelson","R","Kanawha",,,,5532,1813060,6531
36,"Nancy Guthrie","D","Kanawha","Brad White","R","Kanawha","Larry Rowe","D","Kanawha",,,,,,,4246,1434095,4677
37,"Mike Pushkin","D","Kanawha",,,,,,,,,,,,,2069,678162,2174
38,"Patrick Lane","R","Kanawha",,,,,,,,,,,,,1342,434760,1557
39,"Ron Walters","R","Kanawha",,,,,,,,,,,,,1473,493673,1790
40,"Tim Armstead","R","Kanawha",,,,,,,,,,,,,1548,512177,1820
41,"Jordan Hill","R","Nicolas",,,,,,,,,,,,,1400,459051,1574
42,"Ray Canterbury","R","Greenbrier","George Ambler","R","Greenbrier",,,,,,,,,,3049,976900,3416
43,"Denise Campbell","D","Randolph","William Hartman","D","Randolph",,,,,,,,,,3308,1060753,3361
44,"Dana Lynch","D","Webster",,,,,,,,,,,,,1648,571073,1868
45,"Bill Hamilton","R","Upshur",,,,,,,,,,,,,1479,509684,1792
46,"Peggy Smith","D","Lewis",,,,,,,,,,,,,1526,481650,1689
47,"Danny Wagner","R","Barbour",,,,,,,,,,,,,1508,474851,1734
48,"Patsy Trecost","D","Harrison","Timothy Miley","D","Harrison","Danny Hamrick","R","Harrison","Terry Waxman","R","Harrison",,,,5261,1709181,6087
49,"Amy Summers","R","Taylor",,,,,,,,,,,,,1409,458802,1628
50,"Linda Longstreth","D","Marion","Tim Manchin","D","Marion","Mike Caputo","D","Marion",,,,,,,3986,1274294,4373
51,"Joe Statler","R","Monongalia","Brian Kurcaba","R","Monongalia","Barbara Fleischauer","D","Monongalia","Cindy Frich","R","Monongalia","Amanda Pasdon","R","Monongalia",4945,1386561,4784
52,"Steven Shaffer","D","Preston",,,,,,,,,,,,,1259,405803,1445
53,"Randy Smith","R","Preston",,,,,,,,,,,,,1449,457359,1536
54,"Allen Evans","R","Grant",,,,,,,,,,,,,1498,507602,1697
55,"Isaac Sponaugle","D","Pendleton",,,,,,,,,,,,,1685,585022,2042
56,"Gary Howell","R","Mineral",,,,,,,,,,,,,1616,546006,1923
57,"Ruth Rowan","R","Hampshire",,,,,,,,,,,,,1571,535732,1913
58,"Daryl Cowles","R","Morgan",,,,,,,,,,,,,1355,438307,1589
59,"Saira Blair","R","Berkeley",,,,,,,,,,,,,1309,409132,1607
60,"Larry Faircloth","R","Berkeley",,,,,,,,,,,,,1481,489899,1912
61,"Walter Duke","R","Berkeley",,,,,,,,,,,,,2012,674133,2547
62,"John Overington","R","Berkeley",,,,,,,,,,,,,1402,455417,1760
63,"Michael Folk","R","Berkeley",,,,,,,,,,,,,1483,498173,1891
64,"Eric Householder","R","Berkeley",,,,,,,,,,,,,1452,486284,1905
65,"Jill Upson","R","Jefferson",,,,,,,,,,,,,1280,429192,1588
66,"Paul Espinosa","R","Jefferson",,,,,,,,,,,,,1094,356645,1310
67,"Stephen Skinner","D","Jefferson",,,,,,,,,,,,,908,247130,905
